# MestreNova Text Export
# Source: easy ethanol
X(ppm);Intensity
3,819146;0,00000206
3,817237;0,00000206
3,815328;0,00000207
3,813419;0,00000207
3,811510;0,00000208
3,809601;0,00000209
3,807692;0,00000209
3,805783;0,00000210
3,803874;0,00000210
3,801965;0,00000211
3,800056;0,00000211
3,798146;0,00000212
3,796237;0,00000213
3,794328;0,00000213
3,792419;0,00000214
3,790510;0,00000214
3,788601;0,00000215
3,786692;0,00000216
3,784783;0,00000216
3,782874;0,00000217
3,780965;0,00000217
3,779056;0,00000218
3,777147;0,00000219
3,775238;0,00000219
3,773329;0,00000220
3,771420;0,00000221
3,769511;0,00000221
3,767602;0,00000222
3,765693;0,00000222
3,763784;0,00000223
3,761875;0,00000224
3,759966;0,00000224
3,758057;0,00000225
3,756148;0,00000226
3,754239;0,00000226
3,752330;0,00000227
3,750421;0,00000228
3,748511;0,00000228
3,746602;0,00000229
3,744693;0,00000230
3,742784;0,00000230
3,740875;0,00000231
3,738966;0,00000232
3,737057;0,00000232
3,735148;0,00000233
3,733239;0,00000234
3,731330;0,00000235
3,729421;0,00000235
3,727512;0,00000236
3,725603;0,00000237
3,723694;0,00000237
3,721785;0,00000238
3,719876;0,00000239
3,717967;0,00000240
3,716058;0,00000240
3,714149;0,00000241
3,712240;0,00000242
3,710331;0,00000242
3,708422;0,00000243
3,706513;0,00000244
3,704604;0,00000245
3,702695;0,00000245
3,700786;0,00000246
3,698876;0,00000247
3,696967;0,00000248
3,695058;0,00000249
3,693149;0,00000249
3,691240;0,00000250
3,689331;0,00000251
3,687422;0,00000252
3,685513;0,00000252
3,683604;0,00000253
3,681695;0,00000254
3,679786;0,00000255
3,677877;0,00000256
3,675968;0,00000257
3,674059;0,00000257
3,672150;0,00000258
3,670241;0,00000259
3,668332;0,00000260
3,666423;0,00000261
3,664514;0,00000262
3,662605;0,00000262
3,660696;0,00000263
3,658787;0,00000264
3,656878;0,00000265
3,654969;0,00000266
3,653060;0,00000267
3,651151;0,00000268
3,649241;0,00000268
3,647332;0,00000269
3,645423;0,00000270
3,643514;0,00000271
3,641605;0,00000272
3,639696;0,00000273
3,637787;0,00000274
3,635878;0,00000275
3,633969;0,00000276
3,632060;0,00000277
3,630151;0,00000278
3,628242;0,00000278
3,626333;0,00000279
3,624424;0,00000280
3,622515;0,00000281
3,620606;0,00000282
3,618697;0,00000283
3,616788;0,00000284
3,614879;0,00000285
3,612970;0,00000286
3,611061;0,00000287
3,609152;0,00000288
3,607243;0,00000289
3,605334;0,00000290
3,603425;0,00000291
3,601516;0,00000292
3,599606;0,00000293
3,597697;0,00000294
3,595788;0,00000295
3,593879;0,00000296
3,591970;0,00000297
3,590061;0,00000299
3,588152;0,00000300
3,586243;0,00000301
3,584334;0,00000302
3,582425;0,00000303
3,580516;0,00000304
3,578607;0,00000305
3,576698;0,00000306
3,574789;0,00000307
3,572880;0,00000308
3,570971;0,00000310
3,569062;0,00000311
3,567153;0,00000312
3,565244;0,00000313
3,563335;0,00000314
3,561426;0,00000315
3,559517;0,00000316
3,557608;0,00000318
3,555699;0,00000319
3,553790;0,00000320
3,551881;0,00000321
3,549971;0,00000322
3,548062;0,00000324
3,546153;0,00000325
3,544244;0,00000326
3,542335;0,00000327
3,540426;0,00000329
3,538517;0,00000330
3,536608;0,00000331
3,534699;0,00000332
3,532790;0,00000334
3,530881;0,00000335
3,528972;0,00000336
3,527063;0,00000338
3,525154;0,00000339
3,523245;0,00000340
3,521336;0,00000342
3,519427;0,00000343
3,517518;0,00000344
3,515609;0,00000346
3,513700;0,00000347
3,511791;0,00000349
3,509882;0,00000350
3,507973;0,00000351
3,506064;0,00000353
3,504155;0,00000354
3,502246;0,00000356
3,500336;0,00000357
3,498427;0,00000359
3,496518;0,00000360
3,494609;0,00000362
3,492700;0,00000363
3,490791;0,00000364
3,488882;0,00000366
3,486973;0,00000368
3,485064;0,00000369
3,483155;0,00000371
3,481246;0,00000372
3,479337;0,00000374
3,477428;0,00000375
3,475519;0,00000377
3,473610;0,00000379
3,471701;0,00000380
3,469792;0,00000382
3,467883;0,00000383
3,465974;0,00000385
3,464065;0,00000387
3,462156;0,00000388
3,460247;0,00000390
3,458338;0,00000392
3,456429;0,00000394
3,454520;0,00000395
3,452611;0,00000397
3,450701;0,00000399
3,448792;0,00000401
3,446883;0,00000402
3,444974;0,00000404
3,443065;0,00000406
3,441156;0,00000408
3,439247;0,00000410
3,437338;0,00000411
3,435429;0,00000413
3,433520;0,00000415
3,431611;0,00000417
3,429702;0,00000419
3,427793;0,00000421
3,425884;0,00000423
3,423975;0,00000425
3,422066;0,00000427
3,420157;0,00000429
3,418248;0,00000431
3,416339;0,00000433
3,414430;0,00000435
3,412521;0,00000437
3,410612;0,00000439
3,408703;0,00000441
3,406794;0,00000443
3,404885;0,00000445
3,402976;0,00000448
3,401066;0,00000450
3,399157;0,00000452
3,397248;0,00000454
3,395339;0,00000456
3,393430;0,00000459
3,391521;0,00000461
3,389612;0,00000463
3,387703;0,00000466
3,385794;0,00000468
3,383885;0,00000470
3,381976;0,00000473
3,380067;0,00000475
3,378158;0,00000477
3,376249;0,00000480
3,374340;0,00000482
3,372431;0,00000485
3,370522;0,00000487
3,368613;0,00000490
3,366704;0,00000492
3,364795;0,00000495
3,362886;0,00000497
3,360977;0,00000500
3,359068;0,00000503
3,357159;0,00000505
3,355250;0,00000508
3,353341;0,00000511
3,351431;0,00000514
3,349522;0,00000516
3,347613;0,00000519
3,345704;0,00000522
3,343795;0,00000525
3,341886;0,00000528
3,339977;0,00000531
3,338068;0,00000533
3,336159;0,00000536
3,334250;0,00000539
3,332341;0,00000542
3,330432;0,00000545
3,328523;0,00000549
3,326614;0,00000552
3,324705;0,00000555
3,322796;0,00000558
3,320887;0,00000561
3,318978;0,00000564
3,317069;0,00000568
3,315160;0,00000571
3,313251;0,00000574
3,311342;0,00000578
3,309433;0,00000581
3,307524;0,00000584
3,305615;0,00000588
3,303706;0,00000591
3,301796;0,00000595
3,299887;0,00000599
3,297978;0,00000602
3,296069;0,00000606
3,294160;0,00000610
3,292251;0,00000613
3,290342;0,00000617
3,288433;0,00000621
3,286524;0,00000625
3,284615;0,00000629
3,282706;0,00000633
3,280797;0,00000637
3,278888;0,00000641
3,276979;0,00000645
3,275070;0,00000649
3,273161;0,00000653
3,271252;0,00000657
3,269343;0,00000661
3,267434;0,00000666
3,265525;0,00000670
3,263616;0,00000675
3,261707;0,00000679
3,259798;0,00000684
3,257889;0,00000688
3,255980;0,00000693
3,254071;0,00000697
3,252161;0,00000702
3,250252;0,00000707
3,248343;0,00000712
3,246434;0,00000717
3,244525;0,00000722
3,242616;0,00000727
3,240707;0,00000732
3,238798;0,00000737
3,236889;0,00000742
3,234980;0,00000747
3,233071;0,00000753
3,231162;0,00000758
3,229253;0,00000763
3,227344;0,00000769
3,225435;0,00000775
3,223526;0,00000780
3,221617;0,00000786
3,219708;0,00000792
3,217799;0,00000798
3,215890;0,00000804
3,213981;0,00000810
3,212072;0,00000816
3,210163;0,00000822
3,208254;0,00000828
3,206345;0,00000835
3,204436;0,00000841
3,202526;0,00000848
3,200617;0,00000854
3,198708;0,00000861
3,196799;0,00000868
3,194890;0,00000875
3,192981;0,00000882
3,191072;0,00000889
3,189163;0,00000896
3,187254;0,00000904
3,185345;0,00000911
3,183436;0,00000918
3,181527;0,00000926
3,179618;0,00000934
3,177709;0,00000942
3,175800;0,00000950
3,173891;0,00000958
3,171982;0,00000966
3,170073;0,00000974
3,168164;0,00000983
3,166255;0,00000991
3,164346;0,00001000
3,162437;0,00001009
3,160528;0,00001018
3,158619;0,00001027
3,156710;0,00001036
3,154801;0,00001045
3,152892;0,00001055
3,150982;0,00001065
3,149073;0,00001074
3,147164;0,00001084
3,145255;0,00001095
3,143346;0,00001105
3,141437;0,00001115
3,139528;0,00001126
3,137619;0,00001137
3,135710;0,00001148
3,133801;0,00001159
3,131892;0,00001170
3,129983;0,00001182
3,128074;0,00001194
3,126165;0,00001206
3,124256;0,00001218
3,122347;0,00001230
3,120438;0,00001243
3,118529;0,00001255
3,116620;0,00001268
3,114711;0,00001282
3,112802;0,00001295
3,110893;0,00001309
3,108984;0,00001323
3,107075;0,00001337
3,105166;0,00001351
3,103257;0,00001366
3,101347;0,00001381
3,099438;0,00001397
3,097529;0,00001412
3,095620;0,00001428
3,093711;0,00001444
3,091802;0,00001461
3,089893;0,00001477
3,087984;0,00001495
3,086075;0,00001512
3,084166;0,00001530
3,082257;0,00001548
3,080348;0,00001567
3,078439;0,00001585
3,076530;0,00001605
3,074621;0,00001624
3,072712;0,00001644
3,070803;0,00001665
3,068894;0,00001686
3,066985;0,00001707
3,065076;0,00001729
3,063167;0,00001751
3,061258;0,00001774
3,059349;0,00001797
3,057440;0,00001821
3,055531;0,00001845
3,053622;0,00001870
3,051712;0,00001896
3,049803;0,00001922
3,047894;0,00001948
3,045985;0,00001975
3,044076;0,00002003
3,042167;0,00002032
3,040258;0,00002061
3,038349;0,00002090
3,036440;0,00002121
3,034531;0,00002152
3,032622;0,00002184
3,030713;0,00002217
3,028804;0,00002251
3,026895;0,00002285
3,024986;0,00002320
3,023077;0,00002357
3,021168;0,00002394
3,019259;0,00002432
3,017350;0,00002471
3,015441;0,00002511
3,013532;0,00002552
3,011623;0,00002595
3,009714;0,00002638
3,007805;0,00002683
3,005896;0,00002729
3,003987;0,00002776
3,002077;0,00002825
3,000168;0,00002875
2,998259;0,00002926
2,996350;0,00002979
2,994441;0,00003033
2,992532;0,00003089
2,990623;0,00003147
2,988714;0,00003206
2,986805;0,00003268
2,984896;0,00003331
2,982987;0,00003396
2,981078;0,00003463
2,979169;0,00003533
2,977260;0,00003604
2,975351;0,00003678
2,973442;0,00003755
2,971533;0,00003834
2,969624;0,00003916
2,967715;0,00004000
2,965806;0,00004088
2,963897;0,00004178
2,961988;0,00004272
2,960079;0,00004369
2,958170;0,00004470
2,956261;0,00004574
2,954352;0,00004683
2,952442;0,00004795
2,950533;0,00004912
2,948624;0,00005033
2,946715;0,00005159
2,944806;0,00005290
2,942897;0,00005427
2,940988;0,00005569
2,939079;0,00005717
2,937170;0,00005871
2,935261;0,00006032
2,933352;0,00006200
2,931443;0,00006376
2,929534;0,00006559
2,927625;0,00006750
2,925716;0,00006951
2,923807;0,00007161
2,921898;0,00007381
2,919989;0,00007612
2,918080;0,00007854
2,916171;0,00008108
2,914262;0,00008375
2,912353;0,00008657
2,910444;0,00008953
2,908535;0,00009265
2,906626;0,00009595
2,904717;0,00009942
2,902807;0,00010310
2,900898;0,00010699
2,898989;0,00011112
2,897080;0,00011549
2,895171;0,00012014
2,893262;0,00012508
2,891353;0,00013034
2,889444;0,00013594
2,887535;0,00014193
2,885626;0,00014833
2,883717;0,00015519
2,881808;0,00016254
2,879899;0,00017045
2,877990;0,00017895
2,876081;0,00018813
2,874172;0,00019804
2,872263;0,00020878
2,870354;0,00022043
2,868445;0,00023311
2,866536;0,00024694
2,864627;0,00026206
2,862718;0,00027864
2,860809;0,00029687
2,858900;0,00031700
2,856991;0,00033928
2,855082;0,00036404
2,853172;0,00039166
2,851263;0,00042262
2,849354;0,00045747
2,847445;0,00049690
2,845536;0,00054176
2,843627;0,00059311
2,841718;0,00065229
2,839809;0,00072100
2,837900;0,00080142
2,835991;0,00089645
2,834082;0,00100993
2,832173;0,00114708
2,830264;0,00131517
2,828355;0,00152456
2,826446;0,00179052
2,824537;0,00213636
2,822628;0,00259932
2,820719;0,00324241
2,818810;0,00418032
2,816901;0,00564326
2,814992;0,00816040
2,813083;0,01321662
2,811174;0,02649668
2,809265;0,08200058
2,807356;0,15417165
2,805447;0,06193506
2,803537;0,08572534
2,801628;0,29569591
2,799719;0,15536254
2,797810;0,06247920
2,795901;0,08697551
2,793992;0,15867834
2,792083;0,04392429
2,790174;0,01816904
2,788265;0,01024832
2,786356;0,00674118
2,784447;0,00483969
2,782538;0,00367437
2,780629;0,00290006
2,778720;0,00235538
2,776811;0,00195564
2,774902;0,00165251
2,772993;0,00141657
2,771084;0,00122897
2,769175;0,00107711
2,767266;0,00095234
2,765357;0,00084847
2,763448;0,00076102
2,761539;0,00068667
2,759630;0,00062289
2,757721;0,00056776
2,755812;0,00051976
2,753902;0,00047770
2,751993;0,00044064
2,750084;0,00040780
2,748175;0,00037857
2,746266;0,00035242
2,744357;0,00032895
2,742448;0,00030779
2,740539;0,00028865
2,738630;0,00027128
2,736721;0,00025547
2,734812;0,00024103
2,732903;0,00022781
2,730994;0,00021568
2,729085;0,00020452
2,727176;0,00019422
2,725267;0,00018471
2,723358;0,00017590
2,721449;0,00016773
2,719540;0,00016013
2,717631;0,00015305
2,715722;0,00014645
2,713813;0,00014029
2,711904;0,00013452
2,709995;0,00012912
2,708086;0,00012405
2,706177;0,00011929
2,704267;0,00011481
2,702358;0,00011059
2,700449;0,00010661
2,698540;0,00010286
2,696631;0,00009931
2,694722;0,00009595
2,692813;0,00009278
2,690904;0,00008977
2,688995;0,00008691
2,687086;0,00008420
2,685177;0,00008162
2,683268;0,00007917
2,681359;0,00007683
2,679450;0,00007461
2,677541;0,00007249
2,675632;0,00007047
2,673723;0,00006854
2,671814;0,00006670
2,669905;0,00006494
2,667996;0,00006325
2,666087;0,00006164
2,664178;0,00006010
2,662269;0,00005862
2,660360;0,00005720
2,658451;0,00005584
2,656542;0,00005453
2,654632;0,00005328
2,652723;0,00005207
2,650814;0,00005092
2,648905;0,00004980
2,646996;0,00004873
2,645087;0,00004770
2,643178;0,00004671
2,641269;0,00004575
2,639360;0,00004483
2,637451;0,00004394
2,635542;0,00004309
2,633633;0,00004226
2,631724;0,00004146
2,629815;0,00004069
2,627906;0,00003995
2,625997;0,00003923
2,624088;0,00003854
2,622179;0,00003787
2,620270;0,00003722
2,618361;0,00003659
2,616452;0,00003599
2,614543;0,00003540
2,612634;0,00003483
2,610725;0,00003428
2,608816;0,00003375
2,606907;0,00003323
2,604997;0,00003273
2,603088;0,00003224
2,601179;0,00003177
2,599270;0,00003132
2,597361;0,00003088
2,595452;0,00003045
2,593543;0,00003003
2,591634;0,00002963
2,589725;0,00002924
2,587816;0,00002886
2,585907;0,00002849
2,583998;0,00002813
2,582089;0,00002778
2,580180;0,00002744
2,578271;0,00002711
2,576362;0,00002679
2,574453;0,00002648
2,572544;0,00002618
2,570635;0,00002589
2,568726;0,00002561
2,566817;0,00002533
2,564908;0,00002506
2,562999;0,00002480
2,561090;0,00002455
2,559181;0,00002430
2,557272;0,00002406
2,555362;0,00002382
2,553453;0,00002360
2,551544;0,00002338
2,549635;0,00002316
2,547726;0,00002295
2,545817;0,00002275
2,543908;0,00002255
2,541999;0,00002236
2,540090;0,00002217
2,538181;0,00002199
2,536272;0,00002181
2,534363;0,00002164
2,532454;0,00002147
2,530545;0,00002131
2,528636;0,00002115
2,526727;0,00002100
2,524818;0,00002085
2,522909;0,00002070
2,521000;0,00002056
2,519091;0,00002042
2,517182;0,00002029
2,515273;0,00002016
2,513364;0,00002003
2,511455;0,00001991
2,509546;0,00001979
2,507637;0,00001968
2,505727;0,00001957
2,503818;0,00001946
2,501909;0,00001935
2,500000;0,00001925
2,498091;0,00001915
2,496182;0,00001905
2,494273;0,00001896
2,492364;0,00001887
2,490455;0,00001878
2,488546;0,00001870
2,486637;0,00001861
2,484728;0,00001853
2,482819;0,00001846
2,480910;0,00001838
2,479001;0,00001831
2,477092;0,00001824
2,475183;0,00001818
2,473274;0,00001811
2,471365;0,00001805
2,469456;0,00001799
2,467547;0,00001793
2,465638;0,00001788
2,463729;0,00001783
2,461820;0,00001778
2,459911;0,00001773
2,458002;0,00001768
2,456092;0,00001764
2,454183;0,00001760
2,452274;0,00001755
2,450365;0,00001752
2,448456;0,00001748
2,446547;0,00001745
2,444638;0,00001741
2,442729;0,00001738
2,440820;0,00001736
2,438911;0,00001733
2,437002;0,00001730
2,435093;0,00001728
2,433184;0,00001726
2,431275;0,00001724
2,429366;0,00001722
2,427457;0,00001721
2,425548;0,00001719
2,423639;0,00001718
2,421730;0,00001717
2,419821;0,00001716
2,417912;0,00001716
2,416003;0,00001715
2,414094;0,00001715
2,412185;0,00001714
2,410276;0,00001714
2,408367;0,00001714
2,406457;0,00001715
2,404548;0,00001715
2,402639;0,00001716
2,400730;0,00001716
2,398821;0,00001717
2,396912;0,00001718
2,395003;0,00001720
2,393094;0,00001721
2,391185;0,00001723
2,389276;0,00001724
2,387367;0,00001726
2,385458;0,00001728
2,383549;0,00001730
2,381640;0,00001733
2,379731;0,00001735
2,377822;0,00001738
2,375913;0,00001740
2,374004;0,00001743
2,372095;0,00001746
2,370186;0,00001750
2,368277;0,00001753
2,366368;0,00001757
2,364459;0,00001760
2,362550;0,00001764
2,360641;0,00001768
2,358732;0,00001772
2,356822;0,00001777
2,354913;0,00001781
2,353004;0,00001786
2,351095;0,00001791
2,349186;0,00001796
2,347277;0,00001801
2,345368;0,00001806
2,343459;0,00001812
2,341550;0,00001817
2,339641;0,00001823
2,337732;0,00001829
2,335823;0,00001835
2,333914;0,00001841
2,332005;0,00001848
2,330096;0,00001854
2,328187;0,00001861
2,326278;0,00001868
2,324369;0,00001875
2,322460;0,00001883
2,320551;0,00001890
2,318642;0,00001898
2,316733;0,00001906
2,314824;0,00001914
2,312915;0,00001922
2,311006;0,00001930
2,309097;0,00001939
2,307188;0,00001948
2,305278;0,00001957
2,303369;0,00001966
2,301460;0,00001975
2,299551;0,00001985
2,297642;0,00001994
2,295733;0,00002004
2,293824;0,00002015
2,291915;0,00002025
2,290006;0,00002036
2,288097;0,00002046
2,286188;0,00002057
2,284279;0,00002069
2,282370;0,00002080
2,280461;0,00002092
2,278552;0,00002104
2,276643;0,00002116
2,274734;0,00002128
2,272825;0,00002141
2,270916;0,00002154
2,269007;0,00002167
2,267098;0,00002180
2,265189;0,00002194
2,263280;0,00002208
2,261371;0,00002222
2,259462;0,00002236
2,257553;0,00002251
2,255643;0,00002266
2,253734;0,00002281
2,251825;0,00002297
2,249916;0,00002313
2,248007;0,00002329
2,246098;0,00002345
2,244189;0,00002362
2,242280;0,00002379
2,240371;0,00002397
2,238462;0,00002414
2,236553;0,00002432
2,234644;0,00002451
2,232735;0,00002470
2,230826;0,00002489
2,228917;0,00002508
2,227008;0,00002528
2,225099;0,00002548
2,223190;0,00002569
2,221281;0,00002590
2,219372;0,00002611
2,217463;0,00002633
2,215554;0,00002655
2,213645;0,00002678
2,211736;0,00002701
2,209827;0,00002724
2,207918;0,00002748
2,206008;0,00002773
2,204099;0,00002797
2,202190;0,00002823
2,200281;0,00002849
2,198372;0,00002875
2,196463;0,00002902
2,194554;0,00002929
2,192645;0,00002957
2,190736;0,00002986
2,188827;0,00003015
2,186918;0,00003044
2,185009;0,00003075
2,183100;0,00003105
2,181191;0,00003137
2,179282;0,00003169
2,177373;0,00003202
2,175464;0,00003235
2,173555;0,00003269
2,171646;0,00003304
2,169737;0,00003340
2,167828;0,00003376
2,165919;0,00003413
2,164010;0,00003451
2,162101;0,00003490
2,160192;0,00003529
2,158283;0,00003570
2,156373;0,00003611
2,154464;0,00003653
2,152555;0,00003696
2,150646;0,00003740
2,148737;0,00003785
2,146828;0,00003831
2,144919;0,00003878
2,143010;0,00003926
2,141101;0,00003975
2,139192;0,00004026
2,137283;0,00004077
2,135374;0,00004130
2,133465;0,00004184
2,131556;0,00004239
2,129647;0,00004295
2,127738;0,00004353
2,125829;0,00004412
2,123920;0,00004473
2,122011;0,00004535
2,120102;0,00004599
2,118193;0,00004664
2,116284;0,00004731
2,114375;0,00004800
2,112466;0,00004870
2,110557;0,00004942
2,108648;0,00005016
2,106738;0,00005092
2,104829;0,00005170
2,102920;0,00005251
2,101011;0,00005333
2,099102;0,00005417
2,097193;0,00005504
2,095284;0,00005593
2,093375;0,00005685
2,091466;0,00005779
2,089557;0,00005876
2,087648;0,00005976
2,085739;0,00006078
2,083830;0,00006184
2,081921;0,00006292
2,080012;0,00006404
2,078103;0,00006519
2,076194;0,00006638
2,074285;0,00006760
2,072376;0,00006887
2,070467;0,00007017
2,068558;0,00007151
2,066649;0,00007289
2,064740;0,00007432
2,062831;0,00007580
2,060922;0,00007733
2,059013;0,00007890
2,057103;0,00008053
2,055194;0,00008222
2,053285;0,00008396
2,051376;0,00008577
2,049467;0,00008764
2,047558;0,00008958
2,045649;0,00009158
2,043740;0,00009366
2,041831;0,00009582
2,039922;0,00009806
2,038013;0,00010039
2,036104;0,00010280
2,034195;0,00010531
2,032286;0,00010793
2,030377;0,00011064
2,028468;0,00011347
2,026559;0,00011641
2,024650;0,00011948
2,022741;0,00012268
2,020832;0,00012602
2,018923;0,00012951
2,017014;0,00013315
2,015105;0,00013695
2,013196;0,00014094
2,011287;0,00014510
2,009378;0,00014947
2,007468;0,00015405
2,005559;0,00015885
2,003650;0,00016390
2,001741;0,00016920
1,999832;0,00017477
1,997923;0,00018064
1,996014;0,00018683
1,994105;0,00019335
1,992196;0,00020024
1,990287;0,00020752
1,988378;0,00021522
1,986469;0,00022338
1,984560;0,00023203
1,982651;0,00024121
1,980742;0,00025097
1,978833;0,00026136
1,976924;0,00027244
1,975015;0,00028426
1,973106;0,00029689
1,971197;0,00031042
1,969288;0,00032492
1,967379;0,00034051
1,965470;0,00035727
1,963561;0,00037535
1,961652;0,00039488
1,959743;0,00041602
1,957833;0,00043895
1,955924;0,00046390
1,954015;0,00049110
1,952106;0,00052082
1,950197;0,00055341
1,948288;0,00058925
1,946379;0,00062877
1,944470;0,00067252
1,942561;0,00072113
1,940652;0,00077534
1,938743;0,00083607
1,936834;0,00090443
1,934925;0,00098176
1,933016;0,00106973
1,931107;0,00117041
1,929198;0,00128645
1,927289;0,00142117
1,925380;0,00157892
1,923471;0,00176539
1,921562;0,00198821
1,919653;0,00225777
1,917744;0,00258860
1,915835;0,00300157
1,913926;0,00352761
1,912017;0,00421442
1,910108;0,00513928
1,908198;0,00643530
1,906289;0,00835111
1,904380;0,01140510
1,902471;0,01686302
1,900562;0,02865675
1,898653;0,06476328
1,896744;0,22185060
1,894835;0,15753019
1,892926;0,25096039
1,891017;0,22085390
1,889108;0,25047900
1,887199;0,29014959
1,885290;0,19948745
1,883381;0,28837659
1,881472;0,14998312
1,879563;0,24603414
1,877654;0,07579034
1,875745;0,03150118
1,873836;0,01801023
1,871927;0,01199772
1,870018;0,00870476
1,868109;0,00666685
1,866200;0,00530097
1,864291;0,00433283
1,862382;0,00361759
1,860473;0,00307202
1,858563;0,00264514
1,856654;0,00230412
1,854745;0,00202692
1,852836;0,00179827
1,850927;0,00160726
1,849018;0,00144594
1,847109;0,00130837
1,845200;0,00119006
1,843291;0,00108751
1,841382;0,00099803
1,839473;0,00091947
1,837564;0,00085009
1,835655;0,00078852
1,833746;0,00073361
1,831837;0,00068443
1,829928;0,00064021
1,828019;0,00060030
1,826110;0,00056415
1,824201;0,00053131
1,822292;0,00050138
1,820383;0,00047403
1,818474;0,00044897
1,816565;0,00042596
1,814656;0,00040476
1,812747;0,00038521
1,810838;0,00036713
1,808928;0,00035039
1,807019;0,00033484
1,805110;0,00032039
1,803201;0,00030694
1,801292;0,00029439
1,799383;0,00028266
1,797474;0,00027169
1,795565;0,00026142
1,793656;0,00025178
1,791747;0,00024274
1,789838;0,00023423
1,787929;0,00022622
1,786020;0,00021868
1,784111;0,00021156
1,782202;0,00020485
1,780293;0,00019850
1,778384;0,00019249
1,776475;0,00018681
1,774566;0,00018143
1,772657;0,00017633
1,770748;0,00017149
1,768839;0,00016689
1,766930;0,00016252
1,765021;0,00015837
1,763112;0,00015443
1,761203;0,00015067
1,759293;0,00014709
1,757384;0,00014369
1,755475;0,00014044
1,753566;0,00013735
1,751657;0,00013439
1,749748;0,00013158
1,747839;0,00012889
1,745930;0,00012632
1,744021;0,00012387
1,742112;0,00012153
1,740203;0,00011929
1,738294;0,00011715
1,736385;0,00011511
1,734476;0,00011316
1,732567;0,00011129
1,730658;0,00010951
1,728749;0,00010780
1,726840;0,00010617
1,724931;0,00010461
1,723022;0,00010312
1,721113;0,00010170
1,719204;0,00010034
1,717295;0,00009904
1,715386;0,00009780
1,713477;0,00009662
1,711568;0,00009549
1,709658;0,00009442
1,707749;0,00009339
1,705840;0,00009241
1,703931;0,00009149
1,702022;0,00009060
1,700113;0,00008976
1,698204;0,00008897
1,696295;0,00008821
1,694386;0,00008750
1,692477;0,00008682
1,690568;0,00008619
1,688659;0,00008559
1,686750;0,00008503
1,684841;0,00008450
1,682932;0,00008401
1,681023;0,00008355
1,679114;0,00008313
1,677205;0,00008273
1,675296;0,00008237
1,673387;0,00008204
1,671478;0,00008175
1,669569;0,00008148
1,667660;0,00008124
1,665751;0,00008103
1,663842;0,00008085
1,661933;0,00008070
1,660023;0,00008058
1,658114;0,00008049
1,656205;0,00008042
1,654296;0,00008038
1,652387;0,00008037
1,650478;0,00008039
1,648569;0,00008044
1,646660;0,00008051
1,644751;0,00008061
1,642842;0,00008073
1,640933;0,00008089
1,639024;0,00008107
1,637115;0,00008128
1,635206;0,00008152
1,633297;0,00008178
1,631388;0,00008208
1,629479;0,00008240
1,627570;0,00008275
1,625661;0,00008313
1,623752;0,00008354
1,621843;0,00008398
1,619934;0,00008444
1,618025;0,00008494
1,616116;0,00008547
1,614207;0,00008603
1,612298;0,00008662
1,610388;0,00008725
1,608479;0,00008791
1,606570;0,00008860
1,604661;0,00008933
1,602752;0,00009009
1,600843;0,00009089
1,598934;0,00009172
1,597025;0,00009260
1,595116;0,00009351
1,593207;0,00009446
1,591298;0,00009545
1,589389;0,00009649
1,587480;0,00009757
1,585571;0,00009869
